;context;emotion
113;i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair;sadness
114;im not feeling homesick yet so im feeling alright about this;sadness
117;i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain;sadness
123;i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet;sadness
140;i do not feel miserable at all because my family is not the type that celebrates eid;sadness
142;i still feel sleep deprived she is almost sleeping through the night giving us;sadness
146;i feel a need to protect my parents against the witch hunt that repressed memory therapy can be;sadness
149;i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever;sadness
155;i could feel her whimper to the thought of being unloved and uncared for;sadness
162;i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls;sadness
164;i feel so sad and hopeless;sadness
166;i still feel groggy but i have to get up to do the routine for my son;sadness
177;i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy;sadness
180;i am no fan of the current president i am a conservative and it made me feel unwelcome;sadness
185;i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving;sadness
194;i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me;sadness
195;i died would alex and matt feel regretful for not coming to visit;sadness
198;i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage;sadness
206;i legs would feel shitty for a few miles but would come around like they always do;sadness
209;i feel abused and maligned but mostly tired of the nervous feeling anticipating danger;sadness
212;i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy;sadness
213;i wrote last year when i was feeling more dull and inarticulate than normal;sadness
218;i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once;sadness
222;i am feeling disheartened with my words as of late;sadness
229;i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam;sadness
233;i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved;sadness
240;i feel stressed always;sadness
241;i remember feeling another cramp but i also ignored it;sadness
243;i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom;sadness
244;im feeling awful because we hung out with my friend and her new baby the day before;sadness
246;i feel the suffering and i really feel the pain;sadness
251;i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time;sadness
253;i feel as if i was abused in some way;sadness
258;i can feel myself gaining control over the damaged goods aspects of my personal security;sadness
262;i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax;sadness
264;i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets;sadness
267;i feel as if i should be punished for neglecting you;sadness
269;i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially;sadness
270;i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions;sadness
271;i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know;sadness
272;id just had a terrible nightmare and was feeling a little disturbed;sadness
273;i didnt want to walk passed there just in case the customers feel disturbed;sadness
274;i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone;sadness
277;i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain;sadness
278;im sick of feeling crappy;sadness
281;i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us;sadness
283;i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad;sadness
288;i personalities that can feel pain and suffering;sadness
290;i was warming up starting feeling a little lethargic;sadness
294;im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom;sadness
295;i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling;sadness
296;ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness;sadness
299;i can finally stop feeling listless and like a waste of space;sadness
308;i feel really ashamed;sadness
312;i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter;sadness
313;i actually feel sorrowful;sadness
317;i began to feel each of my senses dull until the cold black unconsciousness over came me;sadness
322;i feel empty when the baby isnt there;sadness
323;i stopped feeling so exhausted a href http provokingbeauty;sadness
327;i be made to feel rotten;sadness
346;i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside;sadness
350;i feel burdened to share it;sadness
362;i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved;sadness
363;i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome;sadness
364;i tend to stop breathing when i m feeling stressed;sadness
370;i crave as i fall into submission and i did not feel submissive in the least;sadness
373;i made it to work but i am feeling a little groggy;sadness
377;im starting to feel unwelcome in life and some people can already tell this;sadness
385;i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable;sadness
389;i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart;sadness
399;i am feeling pretty worthless right now;sadness
401;i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused;sadness
404;i was feeling like a pretty crappy mom;sadness
410;im then left feeling quite embarrassed as i say that nothings new;sadness
411;i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse;sadness
415;i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday;sadness
416;i feel is still really low in my abdomen;sadness
424;i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy;sadness
425;i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want;sadness
429;i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities;sadness
431;i feel like ive had to fake my feelings a lot more often then i would have liked to;sadness
433;im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah;sadness
435;i dont know where i want to work because there will always be something that makes me feel stressed or anxious at work whatever the job may be as all jobs require some sort of rules or pressure;sadness
439;i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work;sadness
441;i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan;sadness
442;i made the choice to start recognizing when that feeling of being unloved kicks in and to choose to keep my persistence at the same level not allowing that old reaction to shut me down;sadness
453;ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said;sadness
455;i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe;sadness
464;i always feel like ive been assaulted by his pics;sadness
466;i feel incredibly isolated and lonely;sadness
469;i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me;sadness
476;i make light of it but sometimes i feel really awkward in small groups and in one on one conversations;sadness
478;i also feel like if google hated seo we d know it;sadness
483;i feel like she s judging me and he s not here and i don t want to seem like the needy girl so i don t know;sadness
485;i feel burdened by her presence;sadness
491;i feel really pathetic confronted with some;sadness
494;i am feeling terribly burdened by impending anxiety i am trying to just keep my eyes on the prize;sadness
495;i feel could be unpleasant is layered with love healing forgiveness and the expectation that things will turn out well;sadness
496;im feeling gloomy as i have completed nothing though im supposed to complete many things;sadness
500;i love children s literature authors who don t feel the need to dumb down things for kids;sadness
501;i was soo quiet it was a mixture of not sleeping well and feeling a bit isolated from the big group;sadness
505;i feel like today is way suffering than the exam day which we have to open books everytime we went home;sadness
509;i feel miserable on the inside but on the outside i just like i;sadness
527;i feel i was unfortunate with both mister magnum and sounds of cheers travelling well for long periods of the race;sadness
530;i feel drained of energy;sadness
532;i am feeling pretty stinkin shitty for being such a horrible reviewer;sadness
533;i feel helpless about it;sadness
534;i was feeling awful on sunday;sadness
537;ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot;sadness
538;i feel lonely at work im not a social bird as i usually am when i was in school;sadness
542;i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving;sadness
543;i saw the video of cena kissing maria and surprisingly i didnt feel like i hated her;sadness
545;i was not feeling submissive;sadness
551;i sat on my couch for several hours feeling pretty low;sadness
561;i can feel but i cant touch you said my love was a bit too much i wont deny it broke my heart cant find no crush so why dont you come on back home;sadness
563;i even remember trying them on last year and feeling crappy because i was nowhere near closing them;sadness
569;i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it;sadness
574;ive had too much training in grammar and language and reading something written like this kind of feels like im being assaulted;sadness
579;i know scones are not a must have food but i am determined to live a frugal lifestyle without feeling deprived;sadness
581;i feel that horrible helplessness to make things better for them and that feels like it will kill me inside;sadness
582;i have a few more of these but after taking pictures of my house i feel it is far too messy to post photos online so ill clean up a bit before i post those;sadness
583;i feel hated loathed;sadness
585;ive been feeling very numb;sadness
589;i feel that is very unfortunate that i dont own the soundtrack;sadness
594;i feel lonely and lost;sadness
595;i would feel empty;sadness
600;i love some of it the media coverage but sometime i feel they put an ugly picture;sadness
601;i feel as though i am being a little neglectful of my fellow bloggers;sadness
605;im feeling quite lonely here now and its only monday of half term;sadness
606;i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous;sadness
608;i feel horrible because i feel horrible made worse by the fact that i havent gotten to workout;sadness
610;i feel it and im unhappy;sadness
618;i quickly trotted off he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him;sadness
619;i hated that when i got drunk the whole next day was spent sleeping and feeling groggy;sadness
630;i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off;sadness
642;i was left feeling discouraged and hopeless once again;sadness
643;i feel that this is going to get very messy to get fixed and back on the road again;sadness
650;i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people;sadness
655;i feel at least dating them would not be in vain;sadness
657;i do not feel unhappy miserable wretched glum gloomy forelorn or heartbroken;sadness
669;i knew where things was headed but that didnt really prepare me for the heartbreak even i would feel my heart broke for danielle and all other military wives that have had to go thru losing their husband trying to protect our country;sadness
677;i feel lonely few days before my birthday;sadness
681;i was feeling so low about myself;sadness
683;i feel sorry for rafael bosch;sadness
684;i hope for is that those certain people can attend to more important things in their lives but still come back to blogging if they feel they missed blogging;sadness
687;i begin to feel unpleasant about anime fandom in general;sadness
690;i am feeling miserable and sick but hoping that with the amount of sleep i am getting i havent had much choice i have had zero energy cold meds vitamins and lots of fluids i have high hopes to feel better tomorrow;sadness
693;i feel troubled because of the ongoing relocation of our front door;sadness
707;i feel heartbroken for bryan;sadness
708;i feel like i had fake everything;sadness
720;im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises;sadness
724;i feel numb right now i thought i was feeling angry but now i dont know i dont feel anything should i be sad should i be happy or angry i dont know how to feel anymore;sadness
725;i just feel so discontent about my life these days;sadness
730;i have always had people in my life who have gone out of their way to put me down trip me up or make me feel as if i were completely moronic or not worthy enough;sadness
732;i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way;sadness
735;i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar;sadness
737;im not used to feeling the dependency or the neediness for being needy is not me or at least wasnt prior to recently;sadness
745;i love this little boy and sometimes i feel how inadequate i am as a parent to him;sadness
746;i keep these things predominantly for fix functions and will not arranged right now to create a style applying twelve months previous ingredients until i m feeling much more perverse than usual;sadness
748;i feel sad and discouraged;sadness
762;i feel very unhappy and incomplete;sadness
765;i feel rejected and unwanted;sadness
768;im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable;sadness
779;i sometimes feel disheartened when i realise just how far from my own culture i am;sadness
782;i feel hopeless and out of control;sadness
783;i feel horrible that i had to cancel on one of my best guy friends but the trip was stressing me out because my babysitting hours got cut and i couldn t afford it;sadness
784;i climbed a mountain and made my way to a village where the people stared at me the children looked frightened and ran away and everyone i came across asked me why i was there in such a way as to make me feel unwelcome;sadness
785;i dont feel inhibited and i can work out my problems;sadness
787;i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible;sadness
788;im feeling melancholy with all the back to school stuff today;sadness
804;i begin to feel burdened by things amp long to be empty again;sadness
806;i feel so numb f;sadness
815;i am limiting myself to what i can reasonably do without causing greater injury but i have to do some sort of physical exercise or i start to feel horrible about myself;sadness
823;i started to feel discouraged at the thought of being there more than one day;sadness
825;im already feeling sentimental about his time as a newborn as he was so wee and has sadly outgrown some fave thrifted outfits;sadness
834;i feel if journalists then blamed me;sadness
838;i feel like im not pretty enough like my personality is too boring and obnoxious;sadness
841;i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that;sadness
842;i feel embarrassed to talk to him at times because i feel very small in those moments like he is doing me a favor and i do not deserve to be given attention;sadness
843;i sound so entitled but you cant help but to feel disappointed even though you already knew you were going to be;sadness
846;i was feeling remorseful about my breakfast and so i took a diet pill;sadness
847;i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing;sadness
848;i do not know what my next steps are but i no longer feel lost;sadness
849;i have been feeling awful;sadness
857;i was on my own tearful and feeling unloved even though i know that i am;sadness
860;i was starting to feel a little stressed;sadness
863;i feel ashamed to have not read it yet;sadness
864;i hear about a teenaged girl devastated by the pimple on her face the morning of prom i feel devastated for her;sadness
866;i feel unwelcome at work sometimes and think people might be talking about me rel bookmark i feel unwelcome at work sometimes and think people might be talking about me april a class url fn n href http www;sadness
890;i mostly take the stairs there are of them but occasionally when i am feeling particularly lethargic because of a number of consecutive late nights i bow down to ease and convenience;sadness
892;i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are;sadness
893;i guess while i can understand their concern i can t help but feel a little rejected;sadness
900;i feel my brain damaged are getting worst for dis moment;sadness
902;the funeral of a friend who was killed in a car accident she was of my own age;sadness
905;i out of all people really dont have many proplems talking about how i feel that being said i am in love so after all i have bitched about the last months was in vain;sadness
907;i cant imagine the agony those folks feel waiting for news about their own sentimental things;sadness
909;i feel all messy;sadness
910;i do this i feel lethargic uninspired and the next morning have a go at myself;sadness
916;i feel lethargic and lazy and completely uncomposed if i m not dressed in something like that;sadness
917;i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else;sadness
921;i have realized that by ignoring it i am no better and it is heartbreaking to feel so helpless against it;sadness
925;i feel so terribly that i have ignored her sweet email up until now;sadness
933;im feeling low and forgotten;sadness
939;i feel like i m that dirty trash bin on the streets that nobody really sought;sadness
942;i wake up and i feel absolutely worthless;sadness
944;i feel its gonna start aching again when the rainy season comes again next year;sadness
948;i read in one horrific sitting made me feel ashamed of the world we live in;sadness
956;i feel hated and not wanted but just be an ignored;sadness
958;i wonder are you jealous or feeling of discontent or covetousnes;sadness
959;i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life;sadness
964;im feeling a little stressed over it already;sadness
967;i a href http feeling groggy;sadness
970;i feel resigned to what i have brought myself to and docile;sadness
971;i still feel so alone i just cant give you anything for you to call your own and i can feel you breathing and its keeping me awake can you feel it beating;sadness
974;i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad;sadness
975;i feel humiliated by what my body can t do but when my husband makes advances towards me it reminds me that despite all that ra tries to take from my life he still finds me not only sexually attractive but beautiful;sadness
976;i feel kind of alone and helpless in;sadness
977;i feel totally ignored and excluded;sadness
979;i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something;sadness
981;i go home i feel so empty;sadness
983;i feel defeated like a lion s prey;sadness
988;i feel a little less gloomy a little more optimistic or a little better prepared to face what life throws my way;sadness
989;i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me;sadness
996;i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone;sadness
998;i am feeling pretty homesick this weekend;sadness
1000;i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now;sadness
1003;i feel like even though i dont buy into societys ideas about what a woman should look like i am still constantly unhappy with myself;sadness
1007;i feel the character im doing is a little more beaten down and the comedy is a little bit smaller;sadness
1009;i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of;sadness
1011;i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids;sadness
1013;i feel like im the one to be blamed for all things;sadness
1017;i continued to feel very submissive and continued to be aroused as well;sadness
1019;i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted;sadness
1021;i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place;sadness
1029;i feel like ive isolated myself from regular relationships;sadness
1038;i posted on here and i m feeling very neglectful;sadness
1039;i woke up monday feeling like crap and blamed it on the weather;sadness
1040;i zoom into those difficulties into feeling like having to give up everything and feeling more then helpless alone in a desert cast out by the ways voices and actions of others that is another story when i zoom into it i also temporarily loose the view of the full picture;sadness
1041;i didnt feel like anyone really hated me or noone new anyway and i managed to just not think about those who do;sadness
1047;ive had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated;sadness
1052;i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores;sadness
1054;i honestly feel kind of embarrassed and a bit guilty;sadness
1056;i feel a bit rotten putting a post about teaching into the stones tag list for this blog its not really a grumble or groan subject for me to be honest;sadness
1057;ive learned in this short journey thus far is i know when my body has had enough of sugar and fast food and junk even though those days are far and few between i start to feel lethargic;sadness
1058;i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy;sadness
1059;i just feel disappointed for losing he said;sadness
1061;i feel like a failure of a parent which add that to the emotional rollercoaster of having to have an unplanned c section and well some days i feel like i have just failed from the beginning;sadness
1066;i feel like the people that disliked it the most;sadness
1067;i can never seem to get on the good foot and i feel so crappy;sadness
1070;i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do;sadness
1071;id feel completely lost without him;sadness
1072;im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes;sadness
1073;i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end;sadness
1077;i feel incredibly idiotic but i was also embarrassed because it hadnt been their fault at all and i had yelled at one of the workers on the phone out of frustration about needing to call them a million times sending so many emails and still the problem was not solved;sadness
1092;i feel ashamed that i so readily turn it aside;sadness
1093;i guess they cant help but at least feel remorseful that she died so horribly and im pretty sure matt wasnt crying because he cared;sadness
1100;i got separated from the man i loved;sadness
1101;i feel todays schedule was an aching am to pm backed up by a mere hours of sleep one sandwich and tall espresso;sadness
1108;i have one of the guest rooms in our current house that was supposed to be my craft office closet but i honestly never use it since it is up stairs in a cold or hot room that i feel i can t get messy;sadness
1114;i feel numb the way a wound does before it really starts to hurt;sadness
1119;i feel very very burdened by so many situations around me right now;sadness
1122;im constantly feeling alone;sadness
1124;i still feel ashamed that i live in a world of people who dont know how;sadness
1129;i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost;sadness
1130;i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them;sadness
1149;i cant help but feel a little humiliated;sadness
1150;i don t feel depressed for lack of a husband all the time;sadness
1160;i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far;sadness
1163;i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care;sadness
1169;i was eager to know why i was feeling unhappy and unsatisfied;sadness
1170;i feel crappy actually;sadness
1173;i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine;sadness
1177;i feel awful and have had chills on and off day and night;sadness
1180;i feel like nothing can stop me and sometimes i feel like so defeated;sadness
1182;i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior;sadness
1184;i dont think my desire level is too much to bear but i feel unwelcome;sadness
1185;i am feeling a lil bit gloomy;sadness
1187;i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more;sadness
1188;i feel so stupid to think they will trust me;sadness
1189;i feel awful everytime ac;sadness
1193;i stop feeling so depressed and;sadness
1194;i feel so emotional reaching three finals in four years;sadness
1206;i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything;sadness
1207;i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely;sadness
1209;i was just feeling needy;sadness
1210;i also feel so awful feeling this way;sadness
1212;i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description;sadness
1213;i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas;sadness
1214;i feel completely drained physically and mentally worn out;sadness
1216;im feeling so broke right now but i loved every minute of it;sadness
1219;i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear;sadness
1223;i feel slightly emotional watching it;sadness
1228;i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love;sadness
1234;i guess you cant see how wed feel a bit unwelcome;sadness
1235;i stay up and feel foolish;sadness
1241;id never do but i woke feeling stressed;sadness
1243;i feel terrible about the lady driver though;sadness
1244;i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school;sadness
1247;im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent;sadness
1257;i watched his face contort in sadness i began to feel regretful of my actions;sadness
1258;i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most;sadness
1260;i found is that feeling worthless is a waste of time;sadness
1264;i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings;sadness
1266;i want to avoid feeling disliked;sadness
1267;i feel pretty lame typing that but my upper body is so weak;sadness
1268;i feel very needy;sadness
1272;i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy;sadness
1273;i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating;sadness
1279;i feel like one of those girls in school that i hated because their outfits were perfect everyday because they went shopping once a week;sadness
1281;i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck only the cliquey get to move on and i do not want to roll like that;sadness
1285;i was feeling groggy and super tired during most of the fall we ended up staying home for thanksgiving instead of making the hour trip to see jimmys family;sadness
1292;i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage;sadness
1296;i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood;sadness
1300;i hated the day job and after a few months of feeling like i was being cosmically punished for doing a good deed i was getting ready to quit when i met the woman that would become my wife;sadness
1301;i feel ashamed that i again let it come that far;sadness
1302;i feel a little ashamed that i had such low expectations in the first place;sadness
1304;i feel like im being a terrible person and that hes going to hate me for thinking these things;sadness
1308;i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy;sadness
1312;i feel like hopeless helpless worthless scum;sadness
1315;i am still feeling a little remorseful that we didnt just break down and buy it;sadness
1323;ive had so much more energy no more slugging around feeling lethargic after massive takeaways and choccy binges and my skin started to clear up instantly;sadness
1325;i enjoy hearing the faith stories of other believers sometimes these stories leave me feeling inadequate and guilty;sadness
1326;i feel like ending my life like some song from damaged or something;sadness
1327;i feel totally rejected;sadness
1328;i say no i feel guilty begins by giving you the reasons for and benefits of being assertive without being aggressive;sadness
1329;i feel more jaded;sadness
1332;i was to her in fact so i m taking that as she feels regretful for what she has done;sadness
1333;i feel embarrassed by it;sadness
1335;i always feel slightly worthless almost self condemning like i should be doing more amounting more saving the world one day at a time a preacher on a podium a counselor for teen single struggling mom s a writer a motivational speaker a super mom to my baby boy;sadness
1342;i feel civilly disturbed class delicious title share this on del;sadness
1344;i feel is a dumb plot idea;sadness
1351;i am reliving all of the feelings of being rejected less than and not good enough from years ago;sadness
1356;i feel guilty to my family my friends who made the introduction for me to that job and somehow i even feel guilty to my boss even though he fooled and lied to me;sadness
1361;i feel a bit stressed so i get up and take two rescue tablets;sadness
1362;i feel im being hated;sadness
1363;i am feeling so morose right now i hate how little things like this have enough power to distract me from my day to day life;sadness
1364;i also like to knit but dont do it as intensely as when i was nowadays i mostly knit socks which gives me the feeling that watching tv isnt that useless because i can knit while watching a film or series;sadness
1365;i was afraid to clean nicos ears but after his doctor showed me how then i didnt feel like i could hurt him;sadness
1370;i like to read this when i am feeling inadequate i know mistakes happen and sometimes they are the perfect mistake;sadness
1378;i just feel heartbroken vunerable and sick tonight;sadness
1388;i could also feel very bad about myself for not being able to keep up;sadness
1401;i understand the logic of having a student congress but i cant help but feel thats its really really really boring;sadness
1405;i can admit that even though i feel horrible now;sadness
1407;i feel totally drained emotionally and physically the holy spirit never ceases to fill me up and speak to me;sadness
1413;i came away feeling that i should have felt unfortunate or cheated;sadness
1414;i was feeling so regretful i didnt get it the other time;sadness
1418;i feel without being disturbed by it;sadness
